| X | Time[s]_RawFacilities                                                    |
| O | Dyno_Spd[mph]                                                            |
| X | Dyno_TractiveForce[N]                                                    |
| X | Dyno_LoadCell[N]                                                         |
| X | Distance[mi]                                                             |
| X | Dyno_Spd_Front[mph]                                                      |
| X | Dyno_TractiveForce_Front[N]                                              |
| X | Dyno_LoadCell_Front[N]                                                   |
| X | Dyno_Spd_Rear[mph]                                                       |
| X | Dyno_LoadCell_Rear[N]                                                    |
| X | Dyno_TractiveForce_Rear[N]                                               |
| X | DilAir_RH[%]                                                             |
| X | Tailpipe_Press[inH2O]                                                    |
| X | Cell_Temp[C]                                                             |
| X | Cell_RH[%]                                                               |
| X | Cell_Press[inHg]                                                         |
| X | Tire_Front_Temp[C]                                                       |
| X | Tire_Rear_Temp[C]                                                        |
| X | Drive_Trace_Schedule[mph]                                                |
| X | Exhaust_Bag                                                              |
| X | Engine_Oil_Dipstick_Temp[C]                                              |
| X | Radiator_Air_Outlet_Temp[C]                                              |
| X | Engine_Bay_Temp[C]                                                       |
| X | Cabin_Temp[C]                                                            |
| X | Cabin_Upper_Vent_Temp[C]                                                 |
| X | Cabin_Lower_Vent_Temp[C]                                                 |
| X | Solar_Array_Ind_Temp[C]                                                  |
| X | Eng_FuelFlow_Direct2[gps]                                                |
| X | 12VBatt_Volt_Hioki_U1[V]                                                 |
| X | 12VBatt_Curr_Hioki_I1[A]                                                 |
| X | 12VBatt_Power_Hioki_P1[W]                                                |
| X | Alternator_Curr_Hioki_I2[A]                                              |
| X | Alternator_Power_Hioki_P2[W]                                             |
| X | Eng_FuelFlow_Direct[ccps]                                                |
| X | Eng_Fuel_Temp_Direct[C]                                                  |
| X | Time[s]                                                                  |
| O | Trans_shift_inprogress_CAN[]                                             |
| O | Trans_PRNDL_pos_CAN[]                                                    |
| X | Vehicle_drive_mode_CAN[]                                                 |
| O | Pedal_accel_pos_CAN[per]                                                 |
| O | Trans_gear_desired_CAN[]                                                 |
| O | Trans_gear_engaged_CAN[]                                                 |
| X | Veh_ignition_switch_postion_CAN[]                                        |
